Area Code,State,Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type,Customer_ID,Age,Gender,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Promotion_Response,Target_Churn
203,Connecticut,East,Small Market,107.0,176.0,292.0,116.0,69.0,38.0,962.0,110.0,110.0,160.0,270.0,2,04/01/10 00:00:00,Coffee,Columbian,Regular,1,62,Other,45.15,5892.58,5,22,453.8,2,0,3,129,True,Responded,True
203,Connecticut,East,Small Market,75.0,135.0,225.0,90.0,60.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,07/01/10 00:00:00,Coffee,Columbian,Regular,2,65,Male,79.51,9025.47,13,77,22.9,2,2,3,227,False,Responded,False
203,Connecticut,East,Small Market,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,11/01/10 00:00:00,Coffee,Columbian,Regular,3,18,Male,29.19,618.83,13,71,50.53,5,2,2,283,False,Responded,True
203,Connecticut,East,Small Market,105.0,174.0,289.0,115.0,69.0,37.0,1166.0,110.0,100.0,160.0,260.0,2,12/01/10 00:00:00,Coffee,Columbian,Regular,4,21,Other,79.63,9110.3,3,33,411.83,5,3,5,226,True,Ignored,True
203,Connecticut,East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,07/01/11 00:00:00,Coffee,Columbian,Regular,5,21,Other,77.66,5390.88,15,43,101.19,3,0,5,242,False,Unsubscribed,False
203,Connecticut,East,Small Market,104.0,135.0,223.0,90.0,56.0,29.0,1139.0,90.0,80.0,130.0,210.0,2,08/01/11 00:00:00,Coffee,Columbian,Regular,6,57,Male,190.43,255.19,19,85,417.78,5,1,4,130,False,Unsubscribed,False
203,Connecticut,East,Small Market,135.0,155.0,275.0,103.0,64.0,33.0,1130.0,110.0,90.0,150.0,240.0,2,09/01/11 00:00:00,Coffee,Columbian,Regular,7,27,Male,172.13,3512.55,3,77,316.18,0,3,1,61,True,Unsubscribed,False
203,Connecticut,East,Small Market,171.0,188.0,334.0,125.0,73.0,41.0,1119.0,130.0,100.0,160.0,260.0,2,10/01/11 00:00:00,Coffee,Columbian,Regular,8,37,Other,88.9,7270.9,4,87,63.61,3,4,3,224,False,Ignored,False
203,Connecticut,East,Small Market,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,11/01/11 00:00:00,Coffee,Columbian,Regular,9,39,Other,24.46,4935.49,1,21,173.8,9,2,4,126,True,Responded,True
203,Connecticut,East,Small Market,15.0,31.0,51.0,20.0,16.0,5.0,804.0,20.0,20.0,30.0,50.0,13,06/01/10 00:00:00,Tea,Green Tea,Regular,10,68,Other,169.59,9803.57,17,34,481.18,6,1,2,171,True,Unsubscribed,False
203,Connecticut,East,Small Market,33.0,54.0,90.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,11/01/10 00:00:00,Tea,Green Tea,Regular,11,54,Male,138.9,4283.84,15,33,96.55,9,1,2,92,True,Responded,False
203,Connecticut,East,Small Market,17.0,28.0,47.0,19.0,15.0,5.0,811.0,20.0,20.0,30.0,50.0,13,08/01/11 00:00:00,Tea,Green Tea,Regular,12,41,Female,47.43,3333.69,4,10,212.58,0,0,2,213,False,Responded,True
203,Connecticut,East,Small Market,27.0,36.0,64.0,24.0,18.0,6.0,806.0,40.0,20.0,40.0,60.0,13,10/01/11 00:00:00,Tea,Green Tea,Regular,13,24,Other,199.29,8234.55,1,60,160.58,2,1,5,276,False,Ignored,False
203,Connecticut,East,Small Market,49.0,54.0,96.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,11/01/11 00:00:00,Tea,Green Tea,Regular,14,42,Female,38.04,5524.28,12,4,259.81,5,4,2,212,False,Ignored,True
203,Connecticut,East,Small Market,-2.0,75.0,128.0,53.0,77.0,48.0,597.0,10.0,50.0,70.0,120.0,5,06/01/10 00:00:00,Espresso,Caffe Mocha,Regular,15,42,Female,176.08,6855.03,17,64,222.85,6,0,1,125,False,Ignored,True
203,Connecticut,East,Small Market,1.0,84.0,144.0,60.0,83.0,54.0,606.0,40.0,40.0,90.0,130.0,5,10/01/10 00:00:00,Espresso,Caffe Mocha,Regular,16,30,Male,72.97,8076.45,9,63,466.61,5,0,3,304,False,Unsubscribed,False
203,Connecticut,East,Small Market,2.0,86.0,147.0,61.0,84.0,55.0,613.0,10.0,60.0,80.0,140.0,5,11/01/10 00:00:00,Espresso,Caffe Mocha,Regular,17,19,Male,98.36,6747.13,10,9,414.8,7,3,2,274,True,Responded,True
203,Connecticut,East,Small Market,11.0,105.0,201.0,75.0,103.0,68.0,522.0,20.0,70.0,100.0,170.0,5,01/01/11 00:00:00,Espresso,Caffe Mocha,Regular,18,56,Female,163.18,4281.83,3,29,294.39,7,0,3,197,True,Unsubscribed,False
203,Connecticut,East,Small Market,4.0,90.0,165.0,65.0,87.0,58.0,513.0,20.0,60.0,90.0,150.0,5,02/01/11 00:00:00,Espresso,Caffe Mocha,Regular,19,57,Male,141.95,1335.48,15,14,173.58,7,3,4,4,False,Responded,False
203,Connecticut,East,Small Market,0.0,87.0,160.0,63.0,87.0,57.0,506.0,10.0,60.0,80.0,140.0,5,03/01/11 00:00:00,Espresso,Caffe Mocha,Regular,20,41,Other,188.82,5844.46,11,88,378.05,8,4,5,57,True,Unsubscribed,True
203,Connecticut,East,Small Market,0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,60.0,80.0,140.0,5,04/01/11 00:00:00,Espresso,Caffe Mocha,Regular,21,64,Other,131.81,8984.59,5,72,298.9,1,1,2,323,True,Responded,True
203,Connecticut,East,Small Market,4.0,90.0,153.0,64.0,81.0,58.0,551.0,20.0,60.0,90.0,150.0,5,05/01/11 00:00:00,Espresso,Caffe Mocha,Regular,22,42,Female,37.61,4247.04,10,13,89.61,0,4,1,199,False,Responded,False
203,Connecticut,East,Small Market,3.0,87.0,159.0,62.0,85.0,56.0,612.0,20.0,50.0,90.0,140.0,5,09/01/11 00:00:00,Espresso,Caffe Mocha,Regular,23,35,Female,179.18,9116.18,14,3,162.9,8,0,2,193,True,Responded,True
